gameid,winner,teamSize,R_BAIT_TURN,R_BOUNCE_JUKE,R_CHOKE_PINCH,R_CLEAR_SPLIT,R_CLOSE_QUARTERS,R_CONTESTED_SPLIT,R_DELAY_FEAST,R_DENSITY_RAID,R_ESCORT_RING,R_ETA_STRIKE,R_FEAR_RIDGE,R_FORT_KITE,R_GATE_CAMP,R_GIVE_GROUND,R_HOLD_COVER,R_LAST_MAN_RUN,R_LAST_MEAL_STALL,R_LAST_PREY_CARE,R_LAST_STAND,R_NASH_HOLD,R_OPEN_KITE,R_ORBIT_KITE,R_PACK_HUNT,R_PRESSURE_BREAK,R_REGROUP_MASS,R_ROLE_SWEEP,R_SCATTER_RAID,R_SCREEN_HUNT,R_SHADOW_PREY,R_SURVIVE_FEAR,R_WALL_POUNCE,R_switches,P_BAIT_TURN,P_BOUNCE_JUKE,P_CHOKE_PINCH,P_CLEAR_SPLIT,P_CLOSE_QUARTERS,P_CONTESTED_SPLIT,P_DELAY_FEAST,P_DENSITY_RAID,P_ESCORT_RING,P_ETA_STRIKE,P_FEAR_RIDGE,P_FORT_KITE,P_GATE_CAMP,P_GIVE_GROUND,P_HOLD_COVER,P_LAST_MAN_RUN,P_LAST_MEAL_STALL,P_LAST_PREY_CARE,P_LAST_STAND,P_NASH_HOLD,P_OPEN_KITE,P_ORBIT_KITE,P_PACK_HUNT,P_PRESSURE_BREAK,P_REGROUP_MASS,P_ROLE_SWEEP,P_SCATTER_RAID,P_SCREEN_HUNT,P_SHADOW_PREY,P_SURVIVE_FEAR,P_WALL_POUNCE,P_switches,S_BAIT_TURN,S_BOUNCE_JUKE,S_CHOKE_PINCH,S_CLEAR_SPLIT,S_CLOSE_QUARTERS,S_CONTESTED_SPLIT,S_DELAY_FEAST,S_DENSITY_RAID,S_ESCORT_RING,S_ETA_STRIKE,S_FEAR_RIDGE,S_FORT_KITE,S_GATE_CAMP,S_GIVE_GROUND,S_HOLD_COVER,S_LAST_MAN_RUN,S_LAST_MEAL_STALL,S_LAST_PREY_CARE,S_LAST_STAND,S_NASH_HOLD,S_OPEN_KITE,S_ORBIT_KITE,S_PACK_HUNT,S_PRESSURE_BREAK,S_REGROUP_MASS,S_ROLE_SWEEP,S_SCATTER_RAID,S_SCREEN_HUNT,S_SHADOW_PREY,S_SURVIVE_FEAR,S_WALL_POUNCE,S_switches,
1a696b37-85f4-4251-a524-72341508409f,ROCK,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,202,42,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,103,0,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '28', '130', '12', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '382']"
05ddfb18-c4a0-4aa0-bbb2-24dc6f8d748b,ROCK,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,113,0,0,0,0,0,0,396,38,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,200,64,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0,0,0,0,0,0,77,0,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '127', '284', '104', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '394']"
80548791-b5d7-448e-a7bc-f57c7c662f4a,SCISSORS,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,192,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,179,37,0,0,57,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,347,0,0,0,0,0,0,0,0,189,0,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '222', '131', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '405']"
dd9b8cb7-4db2-43df-9753-681f0c3ba5c5,ROCK,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,70,0,0,0,0,0,0,301,25,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,125,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,355,0,0,0,0,0,0,0,0,196,0,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '184', '95', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '412']"
bcbe9b15-74b5-47c0-bc1e-d360e3b87fa0,ROCK,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,41,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,155,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,73,0,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '36', '166', '64', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '422']"
41753802-1a1b-4b11-bb02-c03dd5263a67,ROCK,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,59,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,151,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,95,0,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '39', '142', '57', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '429']"
d1f3b13b-9a51-44df-a47f-ff4e711a2868,ROCK,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,104,0,0,0,0,0,0,266,54,0,0,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,163,0,0,0,57,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0,0,0,0,0,0,0,0,134,0,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '305', '42', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '438']"
33c7fa18-299e-43bd-8273-1e39b27d177f,ROCK,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,52,0,0,0,0,0,0,226,23,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,88,103,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,54,0,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '33', '122', '110', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '445']"
6dc2ec8e-f295-4e7b-94fe-7f1134c00a3a,ROCK,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,26,0,0,0,0,0,0,231,31,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,84,89,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,128,0,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '81', '114', '11', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '452']"
6b825d15-912a-41dc-8f6c-e32b0bb9435a,PAPER,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,66,48,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,236,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,0,0,0,0,0,0,0,0,87,0,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '107', '150', '62', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '458']"
