gameid,teamSize,forts,duration_s,runcount,winner,rock_final,paper_final,scissors_final,rock_conversions,paper_conversions,scissors_conversions,rock_mode_HUNT,rock_mode_DEFEND,rock_mode_REGROUP,rock_mode_SCATTER,paper_mode_HUNT,paper_mode_DEFEND,paper_mode_REGROUP,paper_mode_SCATTER,scissors_mode_HUNT,scissors_mode_DEFEND,scissors_mode_REGROUP,scissors_mode_SCATTER,total_conversions,wipe_risk_total,wipe_risk_rock,wipe_risk_paper,wipe_risk_scissors,winner_had_fear_at_end,winner_prey_left,fort_near_wins,fort_cover_wins,fort_near_losses,fort_cover_losses,overcrowd_events,avg_pack_density,avg_flank_imbalance,endgame_frames,endgame_seconds,endgame_prey_start,endgame_split_events,endgame_simultaneous,VISION_FAR,NEAR_TARGET_AGGRO,CLUSTER_BONUS,FEAR_CLOSE_MULT,SCATTER_COUNT_THRESHOLD,TARGET_LOCK_TTL,HUNT_ADVANTAGE,COHESION_WEIGHT,PACK_HUNT_MULT,FINISH_BONUS,ESCAPE_BONUS_WEIGHT,FEAR_POP_SCALE
79fca749-c1e5-4139-8dfd-cdf85d5eeda6,5,6,7.95,477,PAPER,0,15,0,12,17,7,0.042,0.0,0.042,0.917,0.667,0.0,0.0,0.333,0.542,0.0,0.25,0.208,36,1,1,0,0,0,0,13,16,8,17,29,6.22,0.0,77,1.28,12,0,14,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
ba1de898-2c32-4e7a-bcbd-923e9937ce48,8,3,6.28,377,PAPER,0,24,0,14,22,6,0.632,0.0,0.105,0.263,0.316,0.0,0.053,0.632,0.316,0.211,0.368,0.105,42,1,1,0,0,0,0,7,13,5,13,38,8.74,0.0,112,1.87,21,0,14,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
51b01865-a37a-4bcc-8e11-7abe78cee2ce,7,5,10.68,641,SCISSORS,0,0,21,18,25,32,0.406,0.0,0.25,0.344,0.344,0.0,0.062,0.594,0.625,0.0,0.125,0.25,75,0,0,0,0,0,0,19,38,29,42,64,8.13,0.001,121,2.02,18,0,15,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
9ab740a8-1444-4bbf-adca-f8a4775a2c00,9,3,7.3,438,PAPER,0,27,0,25,34,16,0.545,0.0,0.091,0.364,0.545,0.091,0.091,0.273,0.409,0.0,0.455,0.136,75,1,1,0,0,0,0,26,33,22,32,70,9.81,0.0,168,2.8,26,0,15,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
0f6f7e63-a5d6-4e59-9340-fa5658802c7d,6,5,5.95,357,SCISSORS,0,0,18,5,11,17,0.278,0.0,0.278,0.444,0.611,0.0,0.056,0.333,0.333,0.0,0.111,0.556,33,1,0,1,0,0,0,14,18,16,18,28,8.12,0.0,72,1.2,12,0,15,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
6e673b8d-5c05-4cc8-9007-e358f8802d36,8,6,7.12,427,ROCK,24,0,0,26,10,18,0.636,0.0,0.091,0.273,0.455,0.0,0.545,0.0,0.545,0.0,0.091,0.364,54,1,0,0,1,0,0,20,30,19,30,46,8.15,0.002,147,2.45,21,0,15,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
62091782-e106-4276-86e7-aa98bfcdcd68,9,3,24.58,1475,ROCK,27,0,0,61,43,52,0.486,0.0,0.027,0.486,0.338,0.095,0.149,0.419,0.622,0.068,0.041,0.27,156,1,0,0,1,0,0,30,91,33,89,137,8.31,0.002,145,2.42,24,0,15,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
1699ba93-06d1-4653-be3a-cdfc196d3811,6,4,18.18,1091,SCISSORS,0,0,18,25,31,37,0.4,0.0,0.164,0.436,0.364,0.0,0.036,0.6,0.545,0.0,0.036,0.418,93,1,0,1,0,0,0,17,29,20,28,74,5.92,0.006,111,1.85,16,0,15,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
faf71840-1c56-4ce6-aa25-dff0c7ae6ab3,5,6,17.47,1048,SCISSORS,0,0,15,16,21,26,0.226,0.0,0.245,0.528,0.491,0.0,0.075,0.434,0.566,0.0,0.038,0.396,63,1,0,1,0,0,0,23,40,29,41,46,5.02,0.004,243,4.05,13,0,15,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
38ac9415-ac17-4a67-b681-40b1a3e3b89a,5,4,14.25,855,ROCK,15,0,0,18,8,13,0.884,0.0,0.047,0.07,0.186,0.0,0.093,0.721,0.07,0.0,0.023,0.907,39,1,0,0,1,0,0,9,25,14,24,24,5.0,0.0,65,1.08,7,0,15,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
38b3b8bf-7fb9-448c-94a9-8382416d4b49,7,5,11.85,711,SCISSORS,0,0,21,17,24,31,0.389,0.0,0.167,0.444,0.389,0.0,0.056,0.556,0.611,0.0,0.056,0.333,72,1,0,1,0,0,0,23,48,24,49,58,6.25,0.011,96,1.6,15,0,15,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
44bd580c-9ea4-40e9-ace7-735d632db2d8,9,6,7.2,432,ROCK,27,0,0,30,12,21,0.545,0.0,0.091,0.364,0.318,0.045,0.545,0.091,0.5,0.0,0.091,0.409,63,1,0,0,1,0,0,21,32,24,32,53,8.1,0.006,177,2.95,25,0,15,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
4f58b61d-396b-4bcf-9025-9f658b7ef627,8,3,23.72,1423,SCISSORS,0,0,24,33,41,49,0.472,0.056,0.139,0.333,0.361,0.0,0.014,0.625,0.472,0.0,0.056,0.472,123,1,0,1,0,0,0,20,50,23,50,103,7.84,0.007,143,2.38,19,0,15,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
d72f6df5-3f72-45f8-87e8-131ff687f416,8,4,19.77,1186,SCISSORS,0,0,24,44,52,60,0.633,0.017,0.167,0.183,0.45,0.0,0.033,0.517,0.483,0.0,0.033,0.483,156,1,0,1,0,0,0,59,91,61,87,137,8.35,0.001,156,2.6,22,0,15,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
d46e5be8-d308-41b9-b160-ccbb95121dfe,11,5,29.37,1762,PAPER,0,39,0,53,66,40,0.535,0.062,0.275,0.127,0.518,0.085,0.255,0.142,0.436,0.034,0.34,0.19,159,1,1,0,0,0,0,19,103,24,104,142,9.03,0.0,322,5.37,21,0,10,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
119c1297-1112-4125-9cc6-5a4a6c69dc97,8,6,57.15,3429,SCISSORS,0,0,33,67,78,89,0.611,0.083,0.203,0.103,0.48,0.09,0.136,0.294,0.643,0.044,0.125,0.188,234,1,0,1,0,0,0,45,151,58,153,204,8.09,0.008,359,5.98,24,0,10,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
c84fe7d9-cacb-4796-95e0-d8807f456962,15,10,49.2,2952,PAPER,0,24,0,48,56,40,0.621,0.0,0.135,0.244,0.521,0.008,0.124,0.347,0.677,0.054,0.19,0.08,144,1,1,0,0,0,0,67,122,70,122,107,6.54,0.011,332,5.53,18,0,10,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
f4f29baa-28f0-466d-9747-4afbac91d3eb,17,7,34.27,2056,SCISSORS,0,0,45,43,58,73,0.543,0.095,0.338,0.024,0.477,0.107,0.251,0.165,0.645,0.0,0.234,0.122,174,1,0,1,0,0,0,41,149,46,146,154,9.83,0.007,311,5.18,19,0,10,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
e6dc3013-fff5-4335-9b7c-681cadfc9246,8,7,24.6,1476,PAPER,0,51,0,51,68,34,0.607,0.0,0.315,0.078,0.444,0.108,0.292,0.156,0.464,0.081,0.393,0.061,153,1,1,0,0,0,0,38,111,37,113,147,12.58,0.0,251,4.18,37,0,13,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
e9ce9d1f-5590-4712-92ba-cbc83be98544,9,6,108.03,6482,PAPER,0,24,0,127,135,119,0.685,0.006,0.069,0.239,0.509,0.015,0.064,0.412,0.423,0.042,0.122,0.414,381,1,1,0,0,0,0,102,261,126,263,293,6.34,0.003,532,8.87,23,0,13,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
